imie,przydomek,maść
Caesar,von der Koboldshuette,czarna podpalana
Aleks,Pol Rot,czarna podpalana
Lummen,Bixa,czarna podpalana
Kilbary,Gasko Prim,czarna podpalana
Condor,vom Inselparadies,czarna podpalana
Hasko,Gasko Prim,blond
Endro,on Schlangenweiher,blond
Birko,vom Winkelbach,czarna podpalana
Raik,Las Księżniczek,czarna podpalana
Ulisse,de la Ferme d Haudery,blond
Antek,vom B-Team,czarna podpalana
Basile,Trzy Wiedźmy,czarna podpalana
Hovarian,Upas,czarna podpalana
Jagerr,Królewska Kraina,czarna podpalana
Hovarian Tapio,Eldorado Lipi ,czarna podpalana
Agreed,Wonder Sambuca,blond
Shiro,Casariae hov,czarna podpalana
Hans im Glueck,vom Langhangensee,blond
Hofmacher,Alpha,czarna podpalana
