"name","breeding_nickname","color","id"
"Caesar","von der Koboldshuette","czarna podpalana",1
"Aleks","Pol Rot","czarna podpalana",2
"Lummen","Bixa","czarna podpalana",3
"Kilbary","Gasko Prim","czarna podpalana",4
"Condor","vom Inselparadies","czarna podpalana",5
"Hasko","Gasko Prim","blond",6
"Endro","on Schlangenweiher","blond",7
"Birko","vom Winkelbach","czarna podpalana",8
"Raik","Las Księżniczek","czarna podpalana",9
"Ulisse","de la Ferme d Haudery","blond",10
"Antek","vom B-Team","czarna podpalana",11
"Basile","Trzy Wiedźmy","czarna podpalana",12
"Hovarian","Upas","czarna podpalana",13
"Jagerr","Królewska Kraina","czarna podpalana",14
"Hovarian Tapio","Eldorado Lipi ","czarna podpalana",15
"Agreed","Wonder Sambuca","blond",16
"Shiro","Casariae hov","czarna podpalana",17
"Hans im Glueck","vom Langhangensee","blond",18
"Hofmacher","Alpha","czarna podpalana",19
